"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","should return the correct record number from CSV without subtable","parseCsv","Tue Jul 15 22:31:40 GMT 2025","passed","Tue Jul 15 22:31:40 GMT 2025","","","",""
"","0","[11] convert DATETIME field correctly","convertFieldValue","Tue Jul 15 22:31:34 GMT 2025","passed","Tue Jul 15 22:31:34 GMT 2025","","","",""
"","2","can separate data source by chunk","chunked","Tue Jul 15 22:31:34 GMT 2025","passed","Tue Jul 15 22:31:34 GMT 2025","","","",""
"","5","should not fail","deleteAllRecords","Tue Jul 15 22:31:35 GMT 2025","passed","Tue Jul 15 22:31:35 GMT 2025","","","",""
"","2","should upsert records correctly with number","upsertRecords","Tue Jul 15 22:31:33 GMT 2025","passed","Tue Jul 15 22:31:33 GMT 2025","","","",""
"","3629","Specify attachments directory nevertheless app does not have an attachment field","","Tue Jul 15 22:33:12 GMT 2025","passed","Tue Jul 15 22:33:15 GMT 2025","","Specify attachments directory nevertheless app does not have an attachment field","",""
"","5","should pass parameters to the apiClient correctly","deleteAllRecords","Tue Jul 15 22:31:35 GMT 2025","passed","Tue Jul 15 22:31:35 GMT 2025","","","",""
"","5697","Skip confirmation message","","Tue Jul 15 22:33:51 GMT 2025","passed","Tue Jul 15 22:33:57 GMT 2025","","Skip confirmation message","",""
"","11594","Specify without app code","","Tue Jul 15 22:33:37 GMT 2025","passed","Tue Jul 15 22:33:49 GMT 2025","","Specify without app code","",""
"","329","should throw error when no commands are passed","main","Tue Jul 15 22:31:36 GMT 2025","passed","Tue Jul 15 22:31:36 GMT 2025","","","",""
"","12337","Upsert by record number","","Tue Jul 15 22:34:18 GMT 2025","passed","Tue Jul 15 22:34:31 GMT 2025","","Upsert by record number","",""
"","1415","Record data with required field empty","","Tue Jul 15 22:36:07 GMT 2025","passed","Tue Jul 15 22:36:08 GMT 2025","","Record data with required field empty","",""
"","751","Incorrect guest space ID","","Tue Jul 15 22:34:40 GMT 2025","passed","Tue Jul 15 22:34:41 GMT 2025","","Incorrect guest space ID","",""
"","1","can iterate from data source with next value","withNextIterator","Tue Jul 15 22:31:34 GMT 2025","passed","Tue Jul 15 22:31:34 GMT 2025","","","",""
"","0","should set ""trace"" to the log config level when log-level argument is ""trace""","logHandler","Tue Jul 15 22:31:39 GMT 2025","passed","Tue Jul 15 22:31:39 GMT 2025","","","",""
"","3","should stringify records as csv correctly","stringifier","Tue Jul 15 22:31:39 GMT 2025","passed","Tue Jul 15 22:31:39 GMT 2025","","","",""
"","1","should show progress logs correctly with aborting","ProgressLogger","Tue Jul 15 22:31:35 GMT 2025","passed","Tue Jul 15 22:31:35 GMT 2025","","","",""
"","350","the zip contains 3 files","PluginZip","Tue Jul 15 22:31:38 GMT 2025","passed","Tue Jul 15 22:31:38 GMT 2025","","","",""
"","5584","Valid ordering","","Tue Jul 15 22:34:09 GMT 2025","passed","Tue Jul 15 22:34:14 GMT 2025","","Valid ordering","",""
"","118","Login authentication is not supported","","Tue Jul 15 22:32:58 GMT 2025","passed","Tue Jul 15 22:32:58 GMT 2025","","Login authentication is not supported","",""
"","717","API token is a draft","","Tue Jul 15 22:32:50 GMT 2025","passed","Tue Jul 15 22:32:51 GMT 2025","","API token is a draft","",""
"","1","[3] convert UPDATED_TIME field correctly","convertFieldValue","Tue Jul 15 22:31:34 GMT 2025","passed","Tue Jul 15 22:31:34 GMT 2025","","","",""
