"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Invalid URL format","","Tue Dec 02 06:47:07 UTC 2025","passed","Tue Dec 02 06:47:07 UTC 2025","","Invalid URL format","",""
"","1","userSelected should create schema correctly","createSchema","Tue Dec 02 06:46:20 UTC 2025","passed","Tue Dec 02 06:46:20 UTC 2025","","","",""
"","0","should display DEBUG message when calling logger with ""debug"" level","StandardLogger","Tue Dec 02 06:46:14 UTC 2025","passed","Tue Dec 02 06:46:14 UTC 2025","","","",""
"","1","should set ""fatal"" to the log config level when log-level argument is ""fatal""","logHandler","Tue Dec 02 06:46:20 UTC 2025","passed","Tue Dec 02 06:46:20 UTC 2025","","","",""
"","3","can separate data source by chunk","chunked","Tue Dec 02 06:46:13 UTC 2025","passed","Tue Dec 02 06:46:13 UTC 2025","","","",""
"","11042","Specify without app code","","Tue Dec 02 06:48:11 UTC 2025","passed","Tue Dec 02 06:48:22 UTC 2025","","Specify without app code","",""
"","3","should show warning message if there is no records exist in the app or match the condition.","getRecords","Tue Dec 02 06:46:12 UTC 2025","passed","Tue Dec 02 06:46:12 UTC 2025","","","",""
"","4513","Exported data is in CSV format","","Tue Dec 02 06:47:16 UTC 2025","passed","Tue Dec 02 06:47:20 UTC 2025","","Exported data is in CSV format","",""
"","763","API token is a draft","","Tue Dec 02 06:47:26 UTC 2025","passed","Tue Dec 02 06:47:27 UTC 2025","","API token is a draft","",""
"","1","存在しないテンプレート名でfalseを返す","template/github","Tue Dec 02 06:46:14 UTC 2025","passed","Tue Dec 02 06:46:14 UTC 2025","","isGitHubTemplateExists","",""
"","4703","Specify a field","","Tue Dec 02 06:48:49 UTC 2025","passed","Tue Dec 02 06:48:53 UTC 2025","","Specify a field","",""
"","287","File does not exist","","Tue Dec 02 06:47:45 UTC 2025","passed","Tue Dec 02 06:47:45 UTC 2025","","File does not exist","",""
"","827","App in guest space is specified without guest space ID","","Tue Dec 02 06:47:08 UTC 2025","passed","Tue Dec 02 06:47:09 UTC 2025","","App in guest space is specified without guest space ID","",""
"","7615","Download attachments into a new directory","","Tue Dec 02 06:47:51 UTC 2025","passed","Tue Dec 02 06:47:59 UTC 2025","","Download attachments into a new directory","",""
"","10561","Upsert by text field","","Tue Dec 02 06:48:58 UTC 2025","passed","Tue Dec 02 06:49:08 UTC 2025","","Upsert by text field","",""
"","411","should throw error when required arguments are missing","main","Tue Dec 02 06:46:17 UTC 2025","passed","Tue Dec 02 06:46:18 UTC 2025","","","",""
"","406","Get help","","Tue Dec 02 06:47:05 UTC 2025","passed","Tue Dec 02 06:47:05 UTC 2025","","Get help","",""
"","1","不正なJSONファイルでエラーをスローする","template/package-json","Tue Dec 02 06:46:14 UTC 2025","passed","Tue Dec 02 06:46:14 UTC 2025","","updatePackageJson","",""
"","2","$(document).on('click', '.gaia-argoui-foo', handler)","no-kintone-internal-selector","Tue Dec 02 06:46:12 UTC 2025","passed","Tue Dec 02 06:46:12 UTC 2025","","invalid","",""
"","1","should convert empty array to csv string correctly","csvStringifier","Tue Dec 02 06:46:16 UTC 2025","passed","Tue Dec 02 06:46:16 UTC 2025","","","",""
"","1","[20] convert DATETIME field correctly","convertFieldValue","Tue Dec 02 06:46:14 UTC 2025","passed","Tue Dec 02 06:46:14 UTC 2025","","","",""
"","4997","API token authorization","","Tue Dec 02 06:47:04 UTC 2025","passed","Tue Dec 02 06:47:09 UTC 2025","","API token authorization","",""
"","10214","Upsert by record number","","Tue Dec 02 06:48:48 UTC 2025","passed","Tue Dec 02 06:48:58 UTC 2025","","Upsert by record number","",""
"","2","should return error message","AddRecordsError","Tue Dec 02 06:46:15 UTC 2025","passed","Tue Dec 02 06:46:15 UTC 2025","","","",""
"","1","[18] convert FILE field correctly","convertFieldValue","Tue Dec 02 06:46:13 UTC 2025","passed","Tue Dec 02 06:46:13 UTC 2025","","","",""
"","2","empty string","hex2a","Tue Dec 02 06:46:20 UTC 2025","passed","Tue Dec 02 06:46:20 UTC 2025","","","",""
"","1","GitHub APIエラー時にfalseを返す","template/github","Tue Dec 02 06:46:14 UTC 2025","passed","Tue Dec 02 06:46:14 UTC 2025","","isGitHubTemplateExists","",""
"","1","should throw error because the record number is invalid","upsertRecords","Tue Dec 02 06:46:14 UTC 2025","passed","Tue Dec 02 06:46:14 UTC 2025","","","",""
"","1","should repeat given function after delay on error and return result on resolve","retry","Tue Dec 02 06:46:14 UTC 2025","passed","Tue Dec 02 06:46:14 UTC 2025","","input sync function","",""
"","1","should throw error when the record number is duplicated","validateRecordNumbers","Tue Dec 02 06:46:15 UTC 2025","passed","Tue Dec 02 06:46:15 UTC 2025","","","",""
"","2","element.querySelector('.foo > .foo-gaia')","no-kintone-internal-selector","Tue Dec 02 06:46:12 UTC 2025","passed","Tue Dec 02 06:46:12 UTC 2025","","invalid","",""
"","5","throws for out of range","hex2a","Tue Dec 02 06:46:20 UTC 2025","passed","Tue Dec 02 06:46:20 UTC 2025","","","",""
"","2498","User does not have privilege to view records","","Tue Dec 02 06:47:03 UTC 2025","passed","Tue Dec 02 06:47:06 UTC 2025","","User does not have privilege to view records","",""
"","84","should call installPlugin API when the plugin have not been installed on kintone","plugin upload command","Tue Dec 02 06:46:14 UTC 2025","passed","Tue Dec 02 06:46:14 UTC 2025","","","",""
"","778","A duplicate API token for the same app","","Tue Dec 02 06:47:23 UTC 2025","passed","Tue Dec 02 06:47:24 UTC 2025","","A duplicate API token for the same app","",""
"","1558","Generates a private key file","","Tue Dec 02 06:47:03 UTC 2025","passed","Tue Dec 02 06:47:05 UTC 2025","","Generates a private key file","",""
"","1","should display ERROR message when calling logger with ""error"" level","StandardLogger","Tue Dec 02 06:46:14 UTC 2025","passed","Tue Dec 02 06:46:14 UTC 2025","","","",""
